127.0.0.1, 2024-01-09 12:32:17, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 1.491611
127.0.0.1, 2024-01-09 12:33:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.550806
127.0.0.1, 2024-01-09 12:33:20, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 3.023283
127.0.0.1, 2024-01-09 12:34:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 4.061687
127.0.0.1, 2024-01-09 12:34:22, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 4.650562
127.0.0.1, 2024-01-09 12:35:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.700681
127.0.0.1, 2024-01-09 12:35:20, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.934409
127.0.0.1, 2024-01-09 12:36:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.325396
127.0.0.1, 2024-01-09 12:36:21, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 1.535223
127.0.0.1, 2024-01-09 12:37:24, GET, /admin/default/todolist.load, HTTP/1.1, 200, 3.788601
127.0.0.1, 2024-01-09 12:37:25, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 4.473199
127.0.0.1, 2024-01-09 12:38:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.094826
127.0.0.1, 2024-01-09 12:38:23, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 1.122016
127.0.0.1, 2024-01-09 12:39:24, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.942339
127.0.0.1, 2024-01-09 12:39:24, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 1.027384
127.0.0.1, 2024-01-09 12:40:24, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.413769
127.0.0.1, 2024-01-09 12:40:24, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.610315
127.0.0.1, 2024-01-09 12:41:25, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.449370
127.0.0.1, 2024-01-09 12:41:25, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.496267
127.0.0.1, 2024-01-09 12:42:27, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.610300
127.0.0.1, 2024-01-09 12:42:27, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 1.607961
127.0.0.1, 2024-01-09 12:43:27, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.637386
127.0.0.1, 2024-01-09 12:43:27, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.732713
127.0.0.1, 2024-01-09 12:44:35, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 6.896814
127.0.0.1, 2024-01-09 12:44:45, GET, /admin/default/todolist.load, HTTP/1.1, 200, 17.131335
127.0.0.1, 2024-01-09 12:45:29, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.404499
127.0.0.1, 2024-01-09 12:45:29, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.467044
127.0.0.1, 2024-01-09 12:46:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.289944
127.0.0.1, 2024-01-09 12:46:30, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.415520
127.0.0.1, 2024-01-09 12:47:32, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.936929
127.0.0.1, 2024-01-09 12:47:32, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 1.092936
127.0.0.1, 2024-01-09 12:48:32, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.497180
127.0.0.1, 2024-01-09 12:48:33, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.942433
127.0.0.1, 2024-01-09 12:49:33, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.470302
127.0.0.1, 2024-01-09 12:49:33, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.775632
127.0.0.1, 2024-01-09 12:50:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.544066
127.0.0.1, 2024-01-09 12:50:35, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.883430
127.0.0.1, 2024-01-09 12:51:35, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.392591
127.0.0.1, 2024-01-09 12:51:35, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.376998
127.0.0.1, 2024-01-09 12:52:36, GET, /sistemaGestionEscolar/appadmin/hooks, HTTP/1.1, 404, 0.600961
